	sequences per sample	iteration	S1	S2	S3	S4	S5	S6
alpha_rarefaction_1801_8.txt	1801	8	4.31914	3.83605	4.41107	4.1444	4.07352	4.04093
alpha_rarefaction_1801_9.txt	1801	9	4.32458	4.14587	4.5435	4.03853	3.99918	4.03554
alpha_rarefaction_2000_0.txt	2000	0	4.56894	4.02763	4.63235	4.17147	4.07656	4.02564
alpha_rarefaction_2000_1.txt	2000	1	4.62577	3.84485	4.46147	4.18948	4.05761	4.07044
alpha_rarefaction_2000_2.txt	2000	2	4.09134	3.9601	4.65505	4.1265	4.11701	3.98081
alpha_rarefaction_2000_3.txt	2000	3	4.80964	3.79968	4.54446	4.08864	4.11701	4.04482
alpha_rarefaction_2000_4.txt	2000	4	4.20282	3.80476	4.38493	4.20677	4.11701	3.9804
alpha_rarefaction_2000_5.txt	2000	5	4.61381	4.14617	4.44133	4.16794	4.07352	4.06923
alpha_rarefaction_2000_6.txt	2000	6	4.29881	4.02763	4.4416	4.09315	4.03634	4.10198
alpha_rarefaction_2000_7.txt	2000	7	4.53088	3.87818	4.44273	4.08196	4.11701	3.99911
alpha_rarefaction_2000_8.txt	2000	8	4.46907	3.73542	4.56064	4.13464	3.97929	3.98703
alpha_rarefaction_2000_9.txt	2000	9	4.59274	4.07682	4.32195	4.18957	4.11701	4.10183
