	s8r1	s3r1	s8	G2	G1	s3	s2	s1	s1r1	s7	s6	s5	s4	A1	A2	C2	C1	E1	E2	s6r1	s5r1	s7r1	F1	F2	H2	s4r1	H1	s2r1	B1	B2	D2	D1
s6	0.17233097504	0.287518745852	0.212177473617	0.283425613861	0.302307255256	0.273034524027	0.265898509615	0.285046067648	0.23978250577	0.184014792242	0.0	0.240190035942	0.27353064233	0.29903138114	0.285100161597	0.18095478228	0.286546704958	0.198796268534	0.266641718142	0.165740576123	0.201610015131	0.17749681611	0.16079747913	0.243879651286	0.197086230593	0.2430279184	0.186407936314	0.252345575921	0.208397756109	0.264320819429	0.268769059309	0.290018365077
s5	0.201078906317	0.221535182817	0.157532026908	0.22990623394	0.239263759259	0.212754890449	0.226418213334	0.272378874419	0.214534514189	0.199193084677	0.240190035942	0.0	0.230450848978	0.255281723649	0.228484448592	0.224409840795	0.224240432238	0.21195618717	0.172578901505	0.235684910957	0.113902906233	0.19353637959	0.215171096745	0.233381311419	0.23432465133	0.195959766223	0.207688092447	0.209417663877	0.200663711404	0.220227695879	0.246227971939	0.235786989647
s4	0.253503790466	0.197863105894	0.252432322718	0.238488050894	0.219095114985	0.203721938342	0.184907031676	0.253515095583	0.183401847468	0.256673611292	0.27353064233	0.230450848978	0.0	0.261387726807	0.224614848867	0.25929246752	0.208480754111	0.261673483897	0.280732031244	0.261919048827	0.243632107615	0.255174193756	0.261640777274	0.218667372107	0.284539221804	0.204433566681	0.272560712597	0.188635127059	0.260392932376	0.188445623607	0.176535122172	0.181997043369
A1	0.265258543143	0.204921425183	0.257998652575	0.236121019654	0.219156192611	0.218189210477	0.23370684797	0.253540088179	0.214205486011	0.254437365982	0.29903138114	0.255281723649	0.261387726807	0.0	0.184192927806	0.309309713346	0.242741730603	0.267448028167	0.257967392552	0.287995836025	0.236206268737	0.261992729631	0.296223800738	0.235479311091	0.295087121198	0.262295580394	0.308525702661	0.227238503302	0.266370621167	0.252974262145	0.274435819794	0.250515969357
A2	0.287544600679	0.19377362764	0.260938000673	0.156374669841	0.172966982229	0.178354545103	0.149719477197	0.257138592604	0.207531891032	0.250395875079	0.285100161597	0.228484448592	0.224614848867	0.184192927806	0.0	0.280914061231	0.149637062071	0.242150113232	0.224202985974	0.273141688257	0.230178480529	0.290876035021	0.272051487356	0.195434376568	0.269660523505	0.212621803333	0.251880025752	0.198563210644	0.241938028895	0.208904397633	0.185009380023	0.177656827048
C2	0.200335402181	0.274672495528	0.220723213714	0.261137548335	0.311064455175	0.289346741255	0.27063181774	0.291897868507	0.243154554764	0.143110054651	0.18095478228	0.224409840795	0.25929246752	0.309309713346	0.280914061231	0.0	0.25675684278	0.148874458984	0.200901687003	0.214729348875	0.201125405285	0.177124748168	0.169812682045	0.206067769235	0.11267925479	0.226985458875	0.159998936999	0.264163395188	0.157445021896	0.223657235716	0.247776250732	0.250418943592
C1	0.276922563127	0.164748274731	0.231069741703	0.139828308572	0.18254866138	0.138018944057	0.179544580734	0.301185301346	0.229547855746	0.24323895236	0.286546704958	0.224240432238	0.208480754111	0.242741730603	0.149637062071	0.25675684278	0.0	0.23413673306	0.205977489446	0.276583298568	0.230982136541	0.302131256046	0.238068580398	0.20071055601	0.277401861106	0.19677351002	0.221201809745	0.185902053291	0.206581116242	0.185051353589	0.197338134846	0.154377559125
E1	0.195381548537	0.24339134476	0.205770922577	0.212551622115	0.252027803926	0.253738730346	0.205133742985	0.299037550804	0.234482374032	0.137694322451	0.198796268534	0.21195618717	0.261673483897	0.267448028167	0.242150113232	0.148874458984	0.23413673306	0.0	0.177350391141	0.191113721724	0.162654592371	0.161860267013	0.157524305802	0.193600330989	0.145423279521	0.202960071154	0.139201284809	0.220052190498	0.112456006899	0.218716172509	0.244739088846	0.227979633145
E2	0.249902247097	0.255329556934	0.221319772881	0.211906673348	0.218483769681	0.254793453521	0.237936005807	0.31769868069	0.241767998942	0.206868455833	0.266641718142	0.172578901505	0.280732031244	0.257967392552	0.224202985974	0.200901687003	0.205977489446	0.177350391141	0.0	0.256146993685	0.168256201827	0.244788329042	0.225814833908	0.230706302584	0.211134893403	0.212638569198	0.176954718784	0.2547555241	0.157509825084	0.235010345969	0.25213582707	0.219172149303
s6r1	0.183027146665	0.238032712314	0.203567955514	0.252324407043	0.29239170573	0.235218165491	0.258171838291	0.276278129258	0.224331028429	0.191901605381	0.165740576123	0.235684910957	0.261919048827	0.287995836025	0.273141688257	0.214729348875	0.276583298568	0.191113721724	0.256146993685	0.0	0.196856993237	0.175943133225	0.175124313643	0.258127860592	0.205348810272	0.21783971887	0.224230271405	0.207258680796	0.220719126136	0.250423537202	0.283244932418	0.254453360368
