	s8r1	s3r1	s8	G2	G1	s3	s2	s1	s1r1	s7	s6	s5	s4	A1	A2	C2	C1	E1	E2	s6r1	s5r1	s7r1	F1	F2	H2	s4r1	H1	s2r1	B1	B2	D2	D1
s6	0.115989626	0.2770019935	0.1188991515	0.3099385215	0.482818621	0.2721983135	0.188912199	0.1800114395	0.214476374	0.166284501	0.0	0.1211736775	0.137379922	0.637447704	0.4170717845	0.213687759	0.3313128975	0.292121474	0.239889215	0.078370096	0.1416239605	0.125209027	0.1908816735	0.281305139	0.177393934	0.1269223855	0.2363676465	0.1637241065	0.300345766	0.312215934	0.2812855965	0.2879328355
s5	0.1071805785	0.204651148	0.112838106	0.243432773	0.4144615345	0.194227247	0.1578308485	0.167698124	0.1764291265	0.1064900105	0.1211736775	0.0	0.1335526005	0.5746254355	0.350059466	0.1851855695	0.268934694	0.2324249265	0.1661505925	0.0945282145	0.054482512	0.0820965945	0.209354135	0.2697914815	0.1366926745	0.071781418	0.228062341	0.128755559	0.2436271345	0.2959926805	0.233259338	0.22183492
s4	0.165590324	0.1994126505	0.1703357035	0.2360591555	0.407793477	0.2061312615	0.142620647	0.0716465295	0.140938673	0.150758876	0.137379922	0.1335526005	0.0	0.576503126	0.3435088605	0.203071922	0.2846758925	0.274075455	0.245360279	0.146303543	0.1420182845	0.113756755	0.2588989095	0.240955312	0.169743868	0.0840907775	0.2803930135	0.1173942575	0.283044296	0.284358078	0.2058070925	0.2023743585
A1	0.583197055	0.4391463975	0.5785739025	0.3953304325	0.201896496	0.4538287485	0.502075433	0.5485688275	0.48077125	0.526902573	0.637447704	0.5746254355	0.576503126	0.0	0.2593443925	0.497836108	0.3896763835	0.411863173	0.447501532	0.571902049	0.5431793585	0.574648158	0.4978470255	0.433384407	0.510725163	0.5771002275	0.4851583295	0.5362523165	0.407786211	0.424305147	0.4259509115	0.4026288095
A2	0.3639553055	0.197310395	0.360061051	0.152865115	0.1048345385	0.214624241	0.2609464655	0.317239404	0.2469972785	0.2869115095	0.4170717845	0.350059466	0.3435088605	0.2593443925	0.0	0.2806561755	0.154664289	0.1812172925	0.2202783835	0.3486136125	0.309496813	0.3432291835	0.289828167	0.2349386875	0.2788353335	0.341918652	0.274321351	0.296637285	0.1846858765	0.2357439985	0.212894286	0.158872027
C2	0.170647842	0.1820499685	0.1706918575	0.1845868105	0.327337181	0.1888752565	0.155844904	0.2259869035	0.113655422	0.130823652	0.213687759	0.1851855695	0.203071922	0.497836108	0.2806561755	0.0	0.2292957045	0.118899511	0.12730026	0.161172968	0.1561083955	0.151527574	0.1381165265	0.122401577	0.069067314	0.1961250685	0.1732417295	0.1620237565	0.115806105	0.147574247	0.1025087405	0.1548227985
C1	0.2771014095	0.123885212	0.276075652	0.090808563	0.2204186635	0.123488809	0.1821789315	0.320727203	0.2227088915	0.2095142735	0.3313128975	0.268934694	0.2846758925	0.3896763835	0.154664289	0.2292957045	0.0	0.1421280495	0.1773399415	0.2730944315	0.236885353	0.2597991155	0.233669346	0.2090604775	0.2170887875	0.261086704	0.20731967	0.209141304	0.1482423295	0.1843033995	0.197763951	0.15018003
E1	0.239552896	0.1409905945	0.2388861855	0.0990402565	0.237964994	0.1630753205	0.176271221	0.2826135345	0.181761654	0.155536519	0.292121474	0.2324249265	0.274075455	0.411863173	0.1812172925	0.118899511	0.1421280495	0.0	0.102204996	0.223297328	0.1912687985	0.202347838	0.1499653395	0.142741701	0.12654239	0.2432891325	0.1491740255	0.2001174665	0.031833987	0.145243855	0.1258797595	0.1080812795
E2	0.185650024	0.1345843635	0.1836559065	0.1376488075	0.281529312	0.1480027895	0.162085627	0.2422317325	0.169267308	0.144130428	0.239889215	0.1661505925	0.245360279	0.447501532	0.2202783835	0.12730026	0.1773399415	0.102204996	0.0	0.179221844	0.1276178995	0.182247193	0.1359795325	0.18159126	0.112305715	0.1982487445	0.1473995515	0.1790592045	0.109086675	0.201122942	0.1443224065	0.1160154155
s6r1	0.067878732	0.2141441135	0.0716579495	0.2461276325	0.416614674	0.2100892535	0.130985957	0.1857799135	0.157565566	0.101357723	0.078370096	0.0945282145	0.146303543	0.571902049	0.3486136125	0.161172968	0.2730944315	0.223297328	0.179221844	0.0	0.0849571105	0.11238147	0.1416710775	0.236977667	0.119240314	0.1134179435	0.1809802665	0.1100396015	0.232827641	0.257240433	0.2237330225	0.2236636635
