	sequences per sample	iteration	A1	A2	B1	B2	C1	C2	D1	D2	E1	E2	F1	F2	G1	G2	H1	H2	s1r1	s1	s2r1	s2	s3r1	s3	s4r1	s4	s5r1	s5	s6r1	s6	s7r1	s7	s8r1	s8
alpha_rarefaction_4008_7.txt	4008	7	14.79982	17.674	17.8199	16.57536	18.20394	17.36296	16.97087	17.23103	17.32631	16.94084	16.40219	16.38463	16.99241	17.68922	16.65276	16.84409	16.1442	13.2099	17.67928	18.50361	16.65806	16.78095	18.19619	16.45778	17.46152	16.60922	16.57821	14.63128	16.36156	17.02805	16.36777	16.09509
alpha_rarefaction_4008_8.txt	4008	8	14.9979	17.95645	17.99097	16.9886	18.92712	16.59165	17.29545	16.74383	17.87958	17.03716	16.76922	16.34763	17.11135	17.41236	16.78667	16.77076	16.82998	13.9323	17.68037	18.20363	16.95624	16.96487	18.18329	15.60363	17.69821	15.8673	16.4875	15.97871	16.80686	17.40037	16.40691	16.21443
alpha_rarefaction_4008_9.txt	4008	9	15.51766	17.36537	18.59611	17.26048	18.97022	16.35827	17.72551	16.83134	17.80764	17.14093	16.05232	15.85761	17.69497	17.44595	16.67971	17.86196	15.76938	13.47466	17.39648	17.7861	17.76106	16.88947	17.98665	15.27742	17.3725	16.9515	15.99471	15.20063	16.89202	16.5098	16.71761	16.89136
alpha_rarefaction_6007_0.txt	6007	0	16.2862	18.18349	19.97116	18.34597	19.67686	18.20261	18.6959	18.61536	18.18223	18.5063	16.86654	17.61045	17.92928	19.14138	17.77649	18.62142	16.89546	16.22508	17.22769	19.23829	18.70508	18.50384	18.9411	16.37031	17.76806	17.66457	17.29826	16.02011	17.92297	18.70727	17.04424	17.16384
alpha_rarefaction_6007_1.txt	6007	1	16.572	18.41505	19.56446	17.63221	19.72216	17.68958	19.5177	17.8351	18.90534	18.69877	17.81143	17.43888	17.73229	18.94114	17.86324	17.2609	17.53735	15.07581	18.28045	18.97308	18.06646	18.51338	19.18113	16.70915	18.33725	17.19248	17.40168	15.41771	17.82924	18.52865	17.88304	17.2934
alpha_rarefaction_6007_2.txt	6007	2	16.52803	18.62042	18.88879	18.74199	20.16425	18.00435	18.96014	17.72435	18.83238	18.47972	17.66337	16.94248	18.30295	18.42708	17.62988	18.09042	17.28165	15.4068	17.96077	19.09594	18.75353	18.73787	19.40653	16.18629	17.81881	17.29019	17.2721	16.70639	17.2009	18.86754	17.5384	17.50369
alpha_rarefaction_6007_3.txt	6007	3	16.13142	19.11561	18.82363	17.82775	19.92517	17.89523	19.54878	18.95463	19.25325	18.6618	17.41802	17.21044	18.32451	19.34894	17.27117	18.16073	17.53784	15.21636	18.4575	19.06997	17.90679	19.19987	19.55932	17.00569	18.05718	17.97009	17.27836	16.50075	17.68853	18.59856	17.46563	17.40743
alpha_rarefaction_6007_4.txt	6007	4	15.45783	18.82671	18.94458	18.34461	19.75933	17.81337	18.92666	17.99842	18.31887	18.44062	16.85787	17.30455	18.04928	19.24115	17.8431	18.188	17.49142	15.09463	18.52397	19.24775	18.25014	18.82448	19.65325	16.47119	18.17451	17.85903	17.46567	15.9409	17.57649	18.05056	16.80189	16.92339
alpha_rarefaction_6007_5.txt	6007	5	15.85926	19.29229	18.9107	18.44635	19.91129	17.71907	19.46	17.87489	19.62047	18.4627	17.14435	17.881	18.52063	19.18154	18.00765	18.56926	17.16732	14.37071	18.4778	18.31152	17.71839	18.81277	18.8837	17.0979	18.45927	16.82473	17.50969	16.61822	18.17246	17.70618	17.18893	16.868
alpha_rarefaction_6007_6.txt	6007	6	15.9282	17.97749	19.3504	18.48685	19.87179	17.66102	18.91903	18.2109	19.85991	18.27368	17.86946	17.7152	18.66413	19.52707	17.19662	18.2482	17.17377	14.89082	18.19713	19.18433	18.48057	18.87448	18.80533	17.38659	17.577	17.8303	17.45956	16.47206	17.52526	18.07943	17.71874	17.51048
