	sequences per sample	iteration	S1	S2	S3	S4	S5	S6
alpha_rarefaction_1602_4.txt	1602	4	58.6	55.6	67.0	51.2	52.5	55.0
alpha_rarefaction_1602_5.txt	1602	5	67.6666666667	51.1428571429	53.0	52.6666666667	52.5	50.75
alpha_rarefaction_1602_6.txt	1602	6	72.375	52.25	58.2	54.0	52.6666666667	48.5
alpha_rarefaction_1602_7.txt	1602	7	63.6	50.5	77.3333333333	58.6	54.5	52.2
alpha_rarefaction_1602_8.txt	1602	8	59.1428571429	54.6666666667	111.0	51.2	51.5	46.0
alpha_rarefaction_1602_9.txt	1602	9	72.1666666667	47.75	61.6	69.0	49.375	49.5
alpha_rarefaction_1801_0.txt	1801	0	62.5	53.5	58.5	57.2	53.3333333333	54.6666666667
alpha_rarefaction_1801_1.txt	1801	1	63.875	53.2	65.0	58.2	52.5	49.6666666667
alpha_rarefaction_1801_2.txt	1801	2	67.4285714286	53.25	65.2	55.5	49.75	48.0
alpha_rarefaction_1801_3.txt	1801	3	64.6	78.5	62.0	53.0	50.0	48.1428571429
alpha_rarefaction_1801_4.txt	1801	4	67.0	54.5	56.0	53.0	53.0	48.6666666667
alpha_rarefaction_1801_5.txt	1801	5	67.6666666667	52.5	59.0	57.25	49.125	57.2
alpha_rarefaction_1801_6.txt	1801	6	65.1111111111	53.25	77.3333333333	52.6666666667	51.75	53.25
alpha_rarefaction_1801_7.txt	1801	7	80.0	69.3333333333	66.3333333333	58.5	55.2	58.0
alpha_rarefaction_1801_8.txt	1801	8	58.1	58.0	61.25	57.5	56.2	45.75
alpha_rarefaction_1801_9.txt	1801	9	59.6	65.0	61.25	58.2	52.5	55.6
alpha_rarefaction_2000_0.txt	2000	0	70.1428571429	54.0	58.75	56.75	54.3333333333	58.3333333333
alpha_rarefaction_2000_1.txt	2000	1	79.0	54.25	75.0	73.0	52.5	49.0
alpha_rarefaction_2000_2.txt	2000	2	68.0	53.0	70.0	67.0	52.0	56.6
alpha_rarefaction_2000_3.txt	2000	3	63.5	57.0	64.0	62.0	50.5	50.3333333333
alpha_rarefaction_2000_4.txt	2000	4	74.5	58.0	55.2	60.6	56.75	51.0
alpha_rarefaction_2000_5.txt	2000	5	76.125	56.0	62.6666666667	122.0	53.5	54.5
alpha_rarefaction_2000_6.txt	2000	6	71.0	68.6	65.3333333333	52.75	52.5	49.0
alpha_rarefaction_2000_7.txt	2000	7	61.5454545455	53.2	58.0	59.0	52.2	50.5
alpha_rarefaction_2000_8.txt	2000	8	61.875	54.2	60.2	59.0	57.0	50.6666666667
alpha_rarefaction_2000_9.txt	2000	9	71.1428571429	50.5	62.0	54.3333333333	51.75	49.0
